title,pictureURLLarge,converted_price,brand,profit,ROI
"benchmade 375sn adamas fixed blade 4.20"" d2 sheath tek-lok paracord discontinued",https://i.ebayimg.com/00/s/MTIwMFgxNjAw/z/A9wAAOSwOzFjsMMp/$_1.JPG,180.0,benchmade,108.6,226.25
new (brown) crooked river benchmade 15085-2 wood knife,https://i.ebayimg.com/00/s/ODAwWDgwMA==/z/JTEAAOSwMmNjt9Pd/$_1.JPG,189.88,benchmade,117.19559999999998,244.1575
"benchmade 610 rukus blackwood 4.25"" s30v micarta g10 axis large folding knife",https://i.ebayimg.com/00/s/MTIwMFgxNjAw/z/FGEAAOSw4LhjsMEk/$_1.JPG,625.0,benchmade,495.75,1032.8125
benchmade bugout 535 blue grivory handle s30v blade axis folding knife used(d80),https://i.ebayimg.com/00/s/MTIwMFgxNjAw/z/JYYAAOSwUpBjvIYt/$_1.JPG,109.99,benchmade,47.6913,99.356875
benchmade 10610 benchmite ii stainless steel folder aus-8 taiwan discontinued,https://i.ebayimg.com/00/s/MTIwMFgxNjAw/z/F8UAAOSwqRpitKxv/$_1.JPG,200.0,benchmade,126.0,262.5
"discontinued benchmade h&k 14410 soldat knife 3.3"" black rare",https://i.ebayimg.com/00/s/NzIxWDE2MDA=/z/UIsAAOSwR4BjtHsw/$_1.JPG,125.5,benchmade,61.185,127.46875
benchmade 40tr balisong trainer,https://i.ebayimg.com/00/s/MTYwMFg5MDA=/z/v6AAAOSwPxljlAZx/$_1.JPG,490.0,benchmade,378.3,788.125
vintage benchmade 690s elishewitz rose wood carbon fiber 154cm folding knife,https://i.ebayimg.com/00/s/MTIwMFgxNjAw/z/WC4AAOSwZZ9jslOq/$_1.JPG,255.0,benchmade,173.85,362.1875
"benchmade 10100 lfk large folding knife 5.2"" 440c liner lock w/sheath",https://i.ebayimg.com/00/s/MTIwMFgxNjAw/z/jIwAAOSwLCxjsKth/$_1.JPG,465.0,benchmade,356.55,742.8125
benchmade 665 apb discontinued rare assisted knife - good condition!,https://i.ebayimg.com/00/s/MTYwMFgxNjAw/z/xYIAAOSwDjVjtLLP/$_1.JPG,305.0,benchmade,217.35,452.8125
"benchmade afck 4"" folding knife / black g10 / black ats-34 ( pre owned )",https://i.ebayimg.com/00/s/MTAwOFgxNjAw/z/0nEAAOSwc-ZjuHNm/$_1.JPG,225.0,benchmade,147.75,307.8125
benchmade crooked river 15080-2 folding knife - good condition/engraved,https://i.ebayimg.com/00/s/MTExOFgxMTgz/z/WjoAAOSwKYZjtPno/$_1.JPG,216.0,benchmade,139.92,291.49999999999994
"benchmade griptilian knife set: 550/555 s30v, aluminum scales - mint!",https://i.ebayimg.com/00/s/MTEwN1gxNTE2/z/pJQAAOSwrKhjqJM-/$_1.JPG,400.0,benchmade,300.0,625.0
benchmade  710d2 (discontinued)  titanium liner. green g10. never carried!,https://i.ebayimg.com/00/s/MTYwMFgxMjAw/z/z0IAAOSw-UdjrMIw/$_1.JPG,469.0,benchmade,360.03,750.0625
benchmade mini pika 10410 vintage lockback 440c blade folding knife,https://i.ebayimg.com/00/s/MTYwMFgxNjAw/z/HsAAAOSwVjhjkUeM/$_1.JPG,94.0,benchmade,33.78,70.375
benchmade pardue 531 green rei exclusive s30v discontinued -excellent condition!,https://i.ebayimg.com/00/s/MTA5OVgxMTY5/z/dQkAAOSw36tjtP0-/$_1.JPG,392.0,benchmade,293.04,610.5
benchmade co knife sibert design d2 black,https://i.ebayimg.com/00/s/MTYwMFgxMjAw/z/5lwAAOSw04pjrhWi/$_1.JPG,149.99,benchmade,82.4913,171.856875
benchmade freek 560 knife black & red g10 scales only,https://i.ebayimg.com/00/s/MTIwMFgxNTk5/z/8UYAAOSwM5Ni2crn/$_1.JPG,59.99,benchmade,4.191299999999998,8.731874999999995
benchmade knives 908-161 gold class stryker ii damascus red carbon 1089,https://i.ebayimg.com/00/s/MTA3MVgxNjAw/z/MOoAAOSwefljTZaB/$_1.JPG,1935.0,benchmade,1635.45,3407.1875
