Image,url,title,date_sold,price_in_US,shipping_cost,converted_price,profit,ROI,brand,cost,price,shipping,itemID
https://i.ebayimg.com/00/s/MTIwMFgxNTk5/z/YH4AAOSw2YVitgx8/$_57.JPG?set_id=8800005007,https://www.ebay.com/itm/204006492663?nordt=true&orig_cvip=true&rt=nc,kershaw diy 8720 folding pocket knife and multi-tool - k57,"Jul 3, 2022",15.5,5.25,20.75,5.75,38.333333333333336,kershaw,15.0,$15.50,$5.25,204006492663
https://i.ebayimg.com/00/s/MTIwMFgxNTk5/z/ng0AAOSwPfNitg2z/$_57.JPG?set_id=8800005007,https://www.ebay.com/itm/204006496074?nordt=true&orig_cvip=true&rt=nc,kershaw usa chive 1600 folding pocket knife - k59,"Jul 3, 2022",23.0,5.25,28.25,13.25,88.33333333333333,kershaw,15.0,$23.00,$5.25,204006496074
https://i.ebayimg.com/00/s/MTIwMFgxNTk5/z/Bq8AAOSwjoVitg5Z/$_57.JPG?set_id=8800005007,https://www.ebay.com/itm/204006497600?nordt=true&orig_cvip=true&rt=nc,kershaw scallion 1620st folding pocket knife - k60,"Jul 3, 2022",14.99,5.25,20.240000000000002,5.240000000000002,34.933333333333344,kershaw,15.0,$14.99,$5.25,204006497600
https://i.ebayimg.com/00/s/MTIwMFgxNTk5/z/Ru8AAOSwhPxithAk/$_57.JPG?set_id=8800005007,https://www.ebay.com/itm/204006505647?nordt=true&orig_cvip=true&rt=nc,kershaw leek 1660 folding pocket knife - k62 - thompson electric on the front,"Jul 3, 2022",20.5,5.25,25.75,10.75,71.66666666666667,kershaw,15.0,$20.50,$5.25,204006505647
https://i.ebayimg.com/00/s/MTIwMFgxNTk5/z/~fwAAOSw0wRithEl/$_57.JPG?set_id=8800005007,https://www.ebay.com/itm/204006512048?nordt=true&orig_cvip=true&rt=nc,kershaw usa lee williams od-1 1775 folding pocket knife - k63,"Jul 3, 2022",29.99,5.25,35.239999999999995,20.239999999999995,134.9333333333333,kershaw,15.0,$29.99,$5.25,204006512048
https://i.ebayimg.com/00/s/MTIwMFgxNTk5/z/l2gAAOSwQwZithMJ/$_57.JPG?set_id=8800005007,https://www.ebay.com/itm/204006519091?nordt=true&orig_cvip=true&rt=nc,discontinued kershaw ken onion whirlwind 1560st folding pocket knife - k65,"Jul 3, 2022",44.99,5.25,50.24,35.24,234.93333333333334,kershaw,15.0,$44.99,$5.25,204006519091
https://i.ebayimg.com/00/s/MTIwMFgxNTk5/z/bjAAAOSw641ithPo/$_57.JPG?set_id=8800005007,https://www.ebay.com/itm/204006520234?nordt=true&orig_cvip=true&rt=nc,kershaw usa blur 1670nbsw folding pocket knife - k66,"Jul 3, 2022",43.0,5.25,48.25,33.25,221.66666666666669,kershaw,15.0,$43.00,$5.25,204006520234
https://i.ebayimg.com/00/s/MTQzNFgxNjAw/z/1lMAAOSwPlZityj5/$_12.JPG?set_id=880000500F,https://www.ebay.com/itm/204007512678?nordt=true&orig_cvip=true&rt=nc,"��(10 pcs) tsa knife lot, kershaw, buck, sog, crkt, used-working pocket knives","Jul 2, 2022",132.5,0.0,132.5,117.5,783.3333333333333,kershaw,15.0,$132.50,$0.00,204007512678
https://i.ebayimg.com/00/s/MTM2MFgxNjAw/z/igUAAOSwdM5it6EC/$_12.JPG?set_id=880000500F,https://www.ebay.com/itm/204007930421?nordt=true&orig_cvip=true&rt=nc,"🌟kershaw usa 1670blkst ken onion blur, assisted pocket knife, dlc blade, nice!","Jul 2, 2022",39.77,0.0,39.77,24.770000000000003,165.13333333333335,kershaw,15.0,$39.77,$0.00,204007930421
https://i.ebayimg.com/00/s/MTIwMFgxNTk5/z/u2YAAOSwbKximMmW/$_57.JPG?set_id=8800005007,https://www.ebay.com/itm/204008396098?nordt=true&orig_cvip=true&rt=nc,kershaw usa leek 1660st folding pocket knife - k13,"Jul 3, 2022",25.53,5.25,30.78,15.780000000000001,105.2,kershaw,15.0,$25.53,$5.25,204008396098
https://i.ebayimg.com/00/s/MTQ0NFgxNjAw/z/4lgAAOSw19FiuHWf/$_12.JPG?set_id=880000500F,https://www.ebay.com/itm/204008622103?nordt=true&orig_cvip=true&rt=nc,"🌟kershaw 1620grnso snap-on scallion knife, **broken torsion bar, manual open**","Aug 2, 2022",38.77,0.0,38.77,23.770000000000003,158.4666666666667,kershaw,15.0,$38.77,$0.00,204008622103
https://i.ebayimg.com/00/s/MTUyMlgxNjAw/z/96kAAOSwJq5iuNRJ/$_12.JPG?set_id=880000500F,https://www.ebay.com/itm/204008955845?nordt=true&orig_cvip=true&rt=nc,"🌟kershaw 1660grybw ken onion leek, assisted open pocket knife, razor sharp!","Jul 4, 2022",35.77,0.0,35.77,20.770000000000003,138.4666666666667,kershaw,15.0,$35.77,$0.00,204008955845
https://i.ebayimg.com/00/s/MTIwMFgxNTk5/z/t9AAAOSwQWxirzK8/$_57.JPG?set_id=8800005007,https://www.ebay.com/itm/204009115686?nordt=true&orig_cvip=true&rt=nc,kershaw japan liner action 2415 folding pocket knife - k54,"Jul 3, 2022",127.5,0.0,127.5,112.5,750.0,kershaw,15.0,$127.50,$0.00,204009115686
