Image,Field4,price_in_US,shipping_,title,date_sold,shipping_cost
https://i.ebayimg.com/images/g/e1gAAOSwaqFec6un/s-l1200.jpg,"Apr 18, 2021",$53.99,$0.00,Case XX Vintage 2 blade Smooth Rose Bone Knife 1979 SR6244 One Dot Bin #1,"Nov 1, 2021",$4.99
https://i.ebayimg.com/images/g/e1gAAOSwaqFec6un/s-l1200.jpg,"Apr 18, 2021",$50.00,$0.00,Case XX 1976 6344 Stockman Knife,"Nov 1, 2021",$5.00
https://i.ebayimg.com/images/g/e1gAAOSwaqFec6un/s-l1200.jpg,"Apr 18, 2021",$46.00,$0.00,CASE XX 10 DOT 1970 CANOE 62131 POCKET KNIFE,"Nov 1, 2021",$0.00
https://i.ebayimg.com/images/g/e1gAAOSwaqFec6un/s-l1200.jpg,"Apr 18, 2021",$39.13,$0.00,CASE XX 1981 9-DOT COCA-COLA CHATTANOOGA  278 POCKET KNIFE,"Nov 1, 2021",$0.00
https://i.ebayimg.com/images/g/e1gAAOSwaqFec6un/s-l1200.jpg,"Apr 18, 2021",$37.99,$0.00,2011 Case XX 61048 SS Navy Blue Utility Slimline Trapper Pocket Knife,"Nov 1, 2021",$0.00
https://i.ebayimg.com/images/g/e1gAAOSwaqFec6un/s-l1200.jpg,"Apr 18, 2021",$19.50,$0.00, CASE XX 2138 1 BLADE LARGE SODBUSTER DAMAGED BLACK HANDLES 1981 KNIFE,"Nov 1, 2021",$4.95
https://i.ebayimg.com/images/g/e1gAAOSwaqFec6un/s-l1200.jpg,"Apr 18, 2021",$66.00,$0.00,CASE XX P197 LSSP SHARKTOOTH PAKKAWOOD  BLACK HANDLES 1981 KNIFE,"Nov 1, 2021",$6.95
https://i.ebayimg.com/images/g/e1gAAOSwaqFec6un/s-l1200.jpg,"Apr 18, 2021",$19.50,$0.00,CASE XX 3148 1 BLADE BAREHEAD TRAPPER YELLOW FADED TO WHITE  HANDLES 1981 KNIFE,"Nov 1, 2021",$4.95
https://i.ebayimg.com/images/g/e1gAAOSwaqFec6un/s-l1200.jpg,"Apr 18, 2021",$48.77,$0.00,CASE XX 2001 6215 SMOOTH GREEN BONE DOCTORS KNIFE,"Nov 1, 2021",$8.30
https://i.ebayimg.com/images/g/e1gAAOSwaqFec6un/s-l1200.jpg,"Apr 18, 2021",$19.99,$0.00,"Modern Case XX Single Blade Lockback Pocket Knife, Plastic Handle, 059L SS","Nov 1, 2021",$6.45
https://i.ebayimg.com/images/g/e1gAAOSwaqFec6un/s-l1200.jpg,"Apr 18, 2021",$12.99,$0.00,"2016 Case XX Single Blade Lockback Pocket Knife, Camo Handle, 225 L SS","Nov 1, 2021",$6.45
https://i.ebayimg.com/images/g/e1gAAOSwaqFec6un/s-l1200.jpg,"Apr 18, 2021",$250.00,$0.00,Vintage Case xx Stag Handle Knife 5FINN SSP,"Nov 1, 2021",$0.00
https://i.ebayimg.com/images/g/e1gAAOSwaqFec6un/s-l1200.jpg,"Apr 18, 2021",$89.95,$0.00,CASE XX 62048 SS AUTUMN BONE BAREHEAD TRAPPER 2000 MINT KNIFE (K001),"Nov 1, 2021",$0.00
https://i.ebayimg.com/images/g/e1gAAOSwaqFec6un/s-l1200.jpg,"Apr 18, 2021",$34.00,$0.00,Case xx 61953 L SS Pocket Knife No Reserve!!!!!!!!,"Nov 1, 2021",$5.95
https://i.ebayimg.com/images/g/e1gAAOSwaqFec6un/s-l1200.jpg,"Apr 18, 2021",$107.50,$0.00,Case XX 5355WH STAG Seahorse Whittler Knife,"Nov 1, 2021",$4.99
https://i.ebayimg.com/images/g/e1gAAOSwaqFec6un/s-l1200.jpg,"Apr 18, 2021",$66.89,$0.00,CASE XX MAKO LOCKBACK KNIFE 7158 CURLEY MAPLE HANDLES UNUSED w/SHEATH 1985,"Nov 1, 2021",$5.00
https://i.ebayimg.com/images/g/e1gAAOSwaqFec6un/s-l1200.jpg,"Apr 18, 2021",$36.00,$0.00,CASE XX SMALL STOCKMAN #52033 SECOND CUT STAG POCKET KNIFE NR $1,"Nov 1, 2021",$7.95
https://i.ebayimg.com/images/g/e1gAAOSwaqFec6un/s-l1200.jpg,"Apr 18, 2021",$70.00,$0.00,CASE XX STOCKMAN # 53087 SECOND CUT STAG SERIES POCKET KNIFE NR $1,"Nov 1, 2021",$7.95
https://i.ebayimg.com/images/g/e1gAAOSwaqFec6un/s-l1200.jpg,"Apr 18, 2021",$152.50,$0.00,Case XX Knife Lot Maple,"Nov 1, 2021",$12.00
https://i.ebayimg.com/images/g/e1gAAOSwaqFec6un/s-l1200.jpg,"Apr 18, 2021",$65.00,$0.00,Case XX 1988 Large Copperhead Knife 6249,"Nov 1, 2021",$0.00
https://i.ebayimg.com/images/g/e1gAAOSwaqFec6un/s-l1200.jpg,"Apr 18, 2021",$15.00,$0.00,1975 Case XX USA 5 Dot Red Bone 2 Blade Knife 6223,"Nov 1, 2021",$5.25
https://i.ebayimg.com/images/g/e1gAAOSwaqFec6un/s-l1200.jpg,"Apr 18, 2021",$115.00,$0.00,CASE XX 6207 SELECT BERMUDA GREEN BONE WHARNCLIFFE MINI TRAPPER POCKET KNIFE,"Nov 1, 2021",$5.85
https://i.ebayimg.com/images/g/e1gAAOSwaqFec6un/s-l1200.jpg,"Apr 18, 2021",$49.95,$0.00,Case XX Jigged Bone pocket Knife 6137 SS USA made 2006 Sod Buster USA,"Nov 1, 2021",$0.00
https://i.ebayimg.com/images/g/e1gAAOSwaqFec6un/s-l1200.jpg,"Apr 18, 2021",$21.50,$0.00,6 Case XX Replacement Knife Shields for Case XX Pocket Knife Knives,"Nov 1, 2021",$3.95
https://i.ebayimg.com/images/g/e1gAAOSwaqFec6un/s-l1200.jpg,"Apr 18, 2021",$80.00,$0.00,Case XX USA 2003 John Deere Yellow Bone 6318 Stockman Pocket Knife,"Nov 1, 2021",$5.15
https://i.ebayimg.com/images/g/e1gAAOSwaqFec6un/s-l1200.jpg,"Apr 18, 2021",$225.00,$0.00,Case XX 2001 Rare Red White And Blue Made In America 1 Of 500 Pocket Knife Set,"Nov 1, 2021",$10.15
https://i.ebayimg.com/images/g/e1gAAOSwaqFec6un/s-l1200.jpg,"Apr 18, 2021",$85.00,$0.00,Case XX USA 1976 4 Dot Two Blade Knife 6232 Brown Bone Handles MINT,"Nov 1, 2021",$5.30
https://i.ebayimg.com/images/g/e1gAAOSwaqFec6un/s-l1200.jpg,"Apr 18, 2021",$115.00,$0.00,Case XX Changer Knife 4 Exchangeable Blades Bone Handle Sheath Manual Boxed,"Nov 2, 2021",$12.70
https://i.ebayimg.com/images/g/e1gAAOSwaqFec6un/s-l1200.jpg,"Apr 18, 2021",$49.99,$0.00,1994 CASE XX USA Texas JACK Pocket KNIFE 6292 Brown JIG Bone HANDLE Made In USA,"Nov 2, 2021",$5.99
https://i.ebayimg.com/images/g/e1gAAOSwaqFec6un/s-l1200.jpg,"Apr 18, 2021",$30.00,$0.00,W.R Case and Sons Cutlery Co. Case XX Pocket Knife - 3318 CU,"Nov 2, 2021",$0.00
https://i.ebayimg.com/images/g/e1gAAOSwaqFec6un/s-l1200.jpg,"Apr 18, 2021",$100.00,$0.00,2010 CASE XX 6154L CV TRAPPERLOCK KNIFE Chestnut Jigged Bone ITEM # 07010 Carbon,"Nov 2, 2021",$5.80
https://i.ebayimg.com/images/g/e1gAAOSwaqFec6un/s-l1200.jpg,"Apr 18, 2021",$40.00,$0.00,Case XX USA 63032 Stockman Knife - Unique color - �� Great Knife + Great deal!!,"Nov 2, 2021",$5.15
https://i.ebayimg.com/images/g/e1gAAOSwaqFec6un/s-l1200.jpg,"Apr 18, 2021",$27.50,$0.00,Case XX USA #22087 SS Jack Folding Pocket Knife 3 Pin Black Delrin 2 Blades 2012,"Nov 2, 2021",$4.70
https://i.ebayimg.com/images/g/e1gAAOSwaqFec6un/s-l1200.jpg,"Apr 18, 2021",$36.99,$0.00,Case Knife 101549L SS Orange ( LOT B490) ,"Nov 2, 2021",$4.99
