Image,date_sold,title,price_in_US,shipping_cost,converted_price,profit,ROI,brand,cost,url,price,shipping,itemID
https://i.ebayimg.com/00/s/MTYwMFgxMjAw/z/EuAAAOSwsZ5i~hm9/$_12.JPG?set_id=880000500F,"Aug 21, 2022",spyderco smock folding edc knife s30v w/ rgt dragons blood canvas micarta scales,185.0,12.82,197.82,167.82,559.4,spyderco,30.0,https://www.ebay.com/itm/255682952565?nordt=true&orig_cvip=true&rt=nc,$185.00,$12.82,255682952565
https://i.ebayimg.com/00/s/MTIwMFgxNjAw/z/1vMAAOSwONdi~rYJ/$_12.JPG?set_id=880000500F,"Aug 28, 2022",spyderco manix 2 s30v dlc black plain blade black g-10 handles c101gpbbk2,140.0,5.0,145.0,115.0,383.33333333333337,spyderco,30.0,https://www.ebay.com/itm/255683711135?nordt=true&orig_cvip=true&rt=nc,$140.00,$5.00,255683711135
https://i.ebayimg.com/00/s/MTI1N1g5NzI=/z/KYkAAOSw8Rti~urs/$_12.JPG?set_id=880000500F,"Aug 23, 2022",spyderco native 5 lockback knife black carbon fiber cpm s90v c41cffp5,225.0,0.0,225.0,195.0,650.0,spyderco,30.0,https://www.ebay.com/itm/255683954511?nordt=true&orig_cvip=true&rt=nc,$225.00,$0.00,255683954511
https://i.ebayimg.com/00/s/MTIwMFgxNjAw/z/b28AAOSwcO5jApuc/$_12.JPG?set_id=880000500F,"Aug 22, 2022","pocket knife lot-spyderco,cold steel,civivi,bryd+",195.0,9.95,204.95,174.95,583.1666666666666,spyderco,30.0,https://www.ebay.com/itm/255688134671?nordt=true&orig_cvip=true&rt=nc,$195.00,$9.95,255688134671
https://i.ebayimg.com/00/s/MTA3NlgxNjAw/z/~OAAAOSwaz1jAsPm/$_57.JPG?set_id=8800005007,"Aug 28, 2022",spyderco mantra 2 flipper knife c203tip plain edge cpm-m4 blade,177.5,5.55,183.05,153.05,510.16666666666674,spyderco,30.0,https://www.ebay.com/itm/255688287135?nordt=true&orig_cvip=true&rt=nc,$177.50,$5.55,255688287135
https://i.ebayimg.com/00/s/Njk5WDEyMDA=/z/jI8AAOSw2DdjAunM/$_12.JPG?set_id=880000500F,"Aug 26, 2022",used black spyderco pocket knife(china),34.0,4.0,38.0,8.0,26.666666666666668,spyderco,30.0,https://www.ebay.com/itm/255688477259?nordt=true&orig_cvip=true&rt=nc,$34.00,$4.00,255688477259
https://i.ebayimg.com/00/s/MTYwMFgxNjAw/z/JlIAAOSwvstjA4Kp/$_57.JPG?set_id=8800005007,"Aug 27, 2022",spyderco delica 4  seki-city japan vg-10 knife  knives wow!!,43.99,3.99,47.980000000000004,17.980000000000004,59.93333333333335,spyderco,30.0,https://www.ebay.com/itm/255689167331?nordt=true&orig_cvip=true&rt=nc,$43.99,$3.99,255689167331
https://i.ebayimg.com/00/s/MTYwMFgxNjAw/z/o18AAOSwsMVjA4M~/$_57.JPG?set_id=8800005007,"Aug 27, 2022",spyderco rescue 79mm  seki-city japan vg-10 knife  knives wow!!,57.0,3.99,60.99,30.990000000000002,103.30000000000001,spyderco,30.0,https://www.ebay.com/itm/255689170378?nordt=true&orig_cvip=true&rt=nc,$57.00,$3.99,255689170378
https://i.ebayimg.com/00/s/MTYwMFgxNjAw/z/3ZMAAOSwpdJi4~wE/$_57.JPG?set_id=8800005007,"Aug 30, 2022",spyderco black knife  knives wow!!,36.0,3.99,39.99,9.990000000000002,33.300000000000004,spyderco,30.0,https://www.ebay.com/itm/255693695322?nordt=true&orig_cvip=true&rt=nc,$36.00,$3.99,255693695322
https://i.ebayimg.com/00/s/MTE4OVgzNTM=/z/fgwAAOSwhfRjB6j6/$_57.JPG?set_id=8800005007,"Aug 25, 2022",spyderco delica 4 lockback pocket knife - green,40.0,6.99,46.99,16.990000000000002,56.63333333333333,spyderco,30.0,https://www.ebay.com/itm/255694030274?nordt=true&orig_cvip=true&rt=nc,$40.00,$6.99,255694030274
https://i.ebayimg.com/00/s/MTEyOVgxNDI2/z/21YAAOSwjttg9dUh/$_12.JPG?set_id=880000500F,"Jul 22, 2022",vtg spyderco  seki city japan aus-6 stainless folding pocket knife,179.9,9.45,189.35,159.35,531.1666666666666,spyderco,30.0,https://www.ebay.com/itm/265235999191?nordt=true&orig_cvip=true&rt=nc,$179.90,$9.45,265235999191
https://i.ebayimg.com/00/s/MTIwMFg5MDA=/z/xVoAAOSw6NZhHXC2/$_10.JPG?set_id=880000500F,"Jul 18, 2022",spyderco cpm s30v folding pocket knife black made in usa,75.0,7.95,82.95,52.95,176.5,spyderco,30.0,https://www.ebay.com/itm/265274209829?nordt=true&orig_cvip=true&rt=nc,$75.00,$7.95,265274209829
https://i.ebayimg.com/00/s/OTAwWDE2MDA=/z/~~wAAOSwwKhiRQdG/$_12.JPG?set_id=880000500F,"Jul 29, 2022",spyderco delica 4 plain edge single blade folding pocket knife! black handle!,69.99,4.85,74.83999999999999,44.83999999999999,149.46666666666664,spyderco,30.0,https://www.ebay.com/itm/265622131399?nordt=true&orig_cvip=true&rt=nc,$69.99,$4.85,265622131399
https://i.ebayimg.com/00/s/NzM5WDExMjk=/z/h7cAAOSwzEdilS1p/$_12.JPG?set_id=880000500F,"Jul 4, 2022",spyderco ladybug h-1 yellow lockback pocket knife seki japan combo edge - 407,47.95,0.0,47.95,17.950000000000003,59.833333333333336,spyderco,30.0,https://www.ebay.com/itm/265715431134?nordt=true&orig_cvip=true&rt=nc,$47.95,$0.00,265715431134
https://i.ebayimg.com/00/s/NjE0WDE1OTM=/z/320AAOSwa3RimAbp/$_12.JPG?set_id=880000500F,"Jul 6, 2022",spyderco roadie slipjoint knife black frn n690co stainless pocket knife!,40.0,0.0,40.0,10.0,33.33333333333333,spyderco,30.0,https://www.ebay.com/itm/265718688922?nordt=true&orig_cvip=true&rt=nc,$40.00,$0.00,265718688922
https://i.ebayimg.com/00/s/NTI3WDEyMDA=/z/FW4AAOSwPMRisMKy/$_12.JPG?set_id=880000500F,"Jul 23, 2022","spyderco ladybug  salt folding knife h1 stainless 1.93"" blade yellow frn handle",35.0,4.5,39.5,9.5,31.666666666666664,spyderco,30.0,https://www.ebay.com/itm/265745804872?nordt=true&orig_cvip=true&rt=nc,$35.00,$4.50,265745804872
https://i.ebayimg.com/00/s/NDM0WDEyODA=/z/ezsAAOSw6hVivcrs/$_57.JPG?set_id=8800005007,"Jul 3, 2022",spyderco delica 4 pocket knife - black frn - vg-10,63.0,0.0,63.0,33.0,110.00000000000001,spyderco,30.0,https://www.ebay.com/itm/265759761902?nordt=true&orig_cvip=true&rt=nc,$63.00,$0.00,265759761902
https://i.ebayimg.com/00/s/MTIwMFgxNjAw/z/YRMAAOSw6hViwghP/$_12.JPG?set_id=880000500F,"Jul 3, 2022",para 3 lightweight cpm spy27 knife - dark blue usa,40.0,10.0,50.0,20.0,66.66666666666666,spyderco,30.0,https://www.ebay.com/itm/265764662133?nordt=true&orig_cvip=true&rt=nc,$40.00,$10.00,265764662133
https://i.ebayimg.com/00/s/MTIwMFgxNjAw/z/oV4AAOSwsSliwglm/$_12.JPG?set_id=880000500F,"Jul 3, 2022",para 3 lightweight cpm 20cv knife - light blue usa,50.0,10.0,60.0,30.0,100.0,spyderco,30.0,https://www.ebay.com/itm/265764664397?nordt=true&orig_cvip=true&rt=nc,$50.00,$10.00,265764664397
https://i.ebayimg.com/00/s/MTYwMFgxMjAw/z/EtUAAOSwy2xiwzuF/$_12.JPG?set_id=880000500F,"Jul 5, 2022",spyderco atlantic salt h1 serrated rescue knife,70.0,5.5,75.5,45.5,151.66666666666666,spyderco,30.0,https://www.ebay.com/itm/265766020835?nordt=true&orig_cvip=true&rt=nc,$70.00,$5.50,265766020835
https://i.ebayimg.com/00/s/MTIwMFgxNjAw/z/aPUAAOSw2lNiw0ed/$_12.JPG?set_id=880000500F,"Jul 10, 2022",spyderco para 3 cpm s30v serrated knife od green g10 scales,150.0,10.0,160.0,130.0,433.3333333333333,spyderco,30.0,https://www.ebay.com/itm/265766071301?nordt=true&orig_cvip=true&rt=nc,$150.00,$10.00,265766071301
https://i.ebayimg.com/00/s/MTYwMFgxMjAw/z/Sq0AAOSwYmhixxQ6/$_12.JPG?set_id=880000500F,"Jul 17, 2022",spyderco shaman knife cpm s90v blade burlap micarta,280.0,9.45,289.45,259.45,864.8333333333334,spyderco,30.0,https://www.ebay.com/itm/265766363040?nordt=true&orig_cvip=true&rt=nc,$280.00,$9.45,265766363040
https://i.ebayimg.com/00/s/MTYwMFgxMjAw/z/2jwAAOSwHiRixIom/$_12.JPG?set_id=880000500F,"Jul 10, 2022",knife lot (spyderco),42.0,10.0,52.0,22.0,73.33333333333333,spyderco,30.0,https://www.ebay.com/itm/265767475230?nordt=true&orig_cvip=true&rt=nc,$42.00,$10.00,265767475230
https://i.ebayimg.com/00/s/NzYyWDE2MDA=/z/MNAAAOSwVGhixOeg/$_12.JPG?set_id=880000500F,"Jul 10, 2022",spyderco paramilitary 2 g-10 camo 3.44 inch knife w/ original box,121.0,0.0,121.0,91.0,303.3333333333333,spyderco,30.0,https://www.ebay.com/itm/265767869443?nordt=true&orig_cvip=true&rt=nc,$121.00,$0.00,265767869443
https://i.ebayimg.com/00/s/MTYwMFgxMjAw/z/5WYAAOSwWlNixeBk/$_57.JPG?set_id=880000500F,"Aug 8, 2022",spyderco worker c01 commemorative knife,170.0,8.7,178.7,148.7,495.66666666666663,spyderco,30.0,https://www.ebay.com/itm/265768878151?nordt=true&orig_cvip=true&rt=nc,$170.00,$8.70,265768878151
https://i.ebayimg.com/00/s/MTIwMFgxNjAw/z/on0AAOSwNkdixvnG/$_12.JPG?set_id=880000500F,"Jul 8, 2022",spyderco shaman knife s30v black g10,200.0,5.2,205.2,175.2,584.0,spyderco,30.0,https://www.ebay.com/itm/265770053212?nordt=true&orig_cvip=true&rt=nc,$200.00,$5.20,265770053212
https://i.ebayimg.com/00/s/MTIwMFgxNjAw/z/LTwAAOSwKOVixvsD/$_12.JPG?set_id=880000500F,"Jul 7, 2022",spyderco endela knife center exclusive hap40/ sus410 with pakka wood scales,115.0,5.2,120.2,90.2,300.6666666666667,spyderco,30.0,https://www.ebay.com/itm/265770057821?nordt=true&orig_cvip=true&rt=nc,$115.00,$5.20,265770057821
https://i.ebayimg.com/00/s/MTYwMFgxMjAw/z/0LwAAOSw8IBiych7/$_12.JPG?set_id=880000500F,"Jul 9, 2022","pocket knife lot used:spyderco, benchmade, chaves, trm, peña, richmade, civivi",1000.0,38.0,1038.0,1008.0,3360.0,spyderco,30.0,https://www.ebay.com/itm/265773364848?nordt=true&orig_cvip=true&rt=nc,"$1,000.00",$38.00,265773364848
https://i.ebayimg.com/00/s/NzYyWDE2MDA=/z/MNAAAOSwVGhixOeg/$_12.JPG?set_id=880000500F,"Jul 15, 2022",spyderco paramilitary 2 g-10 camo 3.44 inch knife w/ original box,125.5,12.6,138.1,108.1,360.3333333333333,spyderco,30.0,https://www.ebay.com/itm/265774929171?nordt=true&orig_cvip=true&rt=nc,$125.50,$12.60,265774929171
