Image,date_sold_x,title_x,price_in_US,shipping_cost,converted_price,profit,ROI,brand,cost,url,title_y,date_sold_y,price,shipping,itemID
https://i.ebayimg.com/00/s/MTYwMFgxMjAw/z/X9cAAOSwxilix0pr/$_12.JPG?set_id=880000500F,"Jul 14, 2022",benchmade mini griptilian 556 pocket knife - s30v blade benchmade mini griptilian 556 pocket knife - s30v blade,75.0,5.2,80.2,35.2,78.22222222222223,benchmade,45.0,https://www.ebay.com/itm/165567472203?nordt=true&orig_cvip=true&rt=nc,benchmade mini griptilian 556 pocket knife - s30v blade,"Jul 14, 2022",$75.00,$5.20,165567472203
https://i.ebayimg.com/00/s/MTIwMFgxNjAw/z/y7oAAOSw2i5i1Jbu/$_57.JPG?set_id=8800005007,"Jul 24, 2022",benchmade mini freek 565-1 pocket knife carbon fiber cpm-s90v steel blade superbenchmade mini freek 565-1 pocket knife carbon fiber cpm-s90v steel blade super,210.0,0.0,210.0,165.0,366.6666666666666,benchmade,45.0,https://www.ebay.com/itm/165583352170?nordt=true&orig_cvip=true&rt=nc,benchmade mini freek 565-1 pocket knife carbon fiber cpm-s90v steel blade super,"Jul 24, 2022",$210.00,$0.00,165583352170
https://i.ebayimg.com/00/s/MTYwMFgxMjAw/z/8k4AAOSw2g5ix1IN/$_12.JPG?set_id=880000500F,"Jul 14, 2022",benchmade 565-1 mini freek axis lock carbon fiber handle s90v folding knifebenchmade 565-1 mini freek axis lock carbon fiber handle s90v folding knife,201.0,5.1,206.1,161.1,358.0,benchmade,45.0,https://www.ebay.com/itm/185492536729?nordt=true&orig_cvip=true&rt=nc,benchmade 565-1 mini freek axis lock carbon fiber handle s90v folding knife,"Jul 14, 2022",$201.00,$5.10,185492536729
https://i.ebayimg.com/00/s/MTYwMFgxMjAw/z/wLMAAOSwgO5i9DWq/$_12.JPG?set_id=880000500F,"Aug 20, 2022","benchmade 550s-154cm griptilian knife, axis lock , mel perdue designbenchmade 550s-154cm griptilian knife, axis lock , mel perdue design",89.99,4.65,94.64,49.64,110.31111111111113,benchmade,45.0,https://www.ebay.com/itm/185533763310?nordt=true&orig_cvip=true&rt=nc,"benchmade 550s-154cm griptilian knife, axis lock , mel perdue design","Aug 20, 2022",$89.99,$4.65,185533763310
https://i.ebayimg.com/00/s/MTAwMFgxMDAw/z/wUcAAOSw1Qxi2btT/$_57.JPG?set_id=880000500F,"Jul 25, 2022",benchmade pardue mini-griptilian 530v steel blade knife satin plain edge (1)benchmade pardue mini-griptilian 530v steel blade knife satin plain edge (1),76.7,5.0,81.7,36.7,81.55555555555556,benchmade,45.0,https://www.ebay.com/itm/195234864703?nordt=true&orig_cvip=true&rt=nc,benchmade pardue mini-griptilian 530v steel blade knife satin plain edge (1),"Jul 25, 2022",$76.70,$5.00,195234864703
https://i.ebayimg.com/00/s/MTYwMFgxMjAw/z/4M0AAOSw19pizFZe/$_12.JPG?set_id=880000500F,"Jul 15, 2022","benchmade 535 bugout knife. barely used, no box included.benchmade 535 bugout knife. barely used, no box included.",102.5,4.75,107.25,62.25,138.33333333333334,benchmade,45.0,https://www.ebay.com/itm/204034463310?nordt=true&orig_cvip=true&rt=nc,"benchmade 535 bugout knife. barely used, no box included.","Jul 15, 2022",$102.50,$4.75,204034463310
https://i.ebayimg.com/00/s/NTI4WDE1NTI=/z/KDIAAOSwlM9i0z-w/$_12.JPG?set_id=880000500F,"Jul 23, 2022","benchmade mini griptilian axis lock knife gray/blue g-10 (2.91"" satin)555 *readbenchmade mini griptilian axis lock knife gray/blue g-10 (2.91"" satin)555 *read",121.5,4.2,125.7,80.7,179.33333333333337,benchmade,45.0,https://www.ebay.com/itm/204039596732?nordt=true&orig_cvip=true&rt=nc,"benchmade mini griptilian axis lock knife gray/blue g-10 (2.91"" satin)555 *read","Jul 23, 2022",$121.50,$4.20,204039596732
https://i.ebayimg.com/00/s/MTYwMFgxMjAw/z/v5YAAOSw5XBiDnbC/$_57.JPG?set_id=8800005007,"Aug 15, 2022","benchmade 417 fact folding knife 3.95"" s30v blade, black aluminum handles - usedbenchmade 417 fact folding knife 3.95"" s30v blade, black aluminum handles - used",171.99,0.0,171.99,126.99,282.2,benchmade,45.0,https://www.ebay.com/itm/234425847480?nordt=true&orig_cvip=true&rt=nc,"benchmade 417 fact folding knife 3.95"" s30v blade, black aluminum handles - used","Aug 15, 2022",$171.99,$0.00,234425847480
https://i.ebayimg.com/00/s/MTYwMFgxMjAw/z/6b8AAOSwh8pixJbQ/$_12.JPG?set_id=880000500F,"Jul 9, 2022",lightly used benchmade 535 bugout folding knifelightly used benchmade 535 bugout folding knife,100.0,8.0,108.0,63.0,140.0,benchmade,45.0,https://www.ebay.com/itm/234613567439?nordt=true&orig_cvip=true&rt=nc,lightly used benchmade 535 bugout folding knife,"Jul 9, 2022",$100.00,$8.00,234613567439
https://i.ebayimg.com/00/s/MTYwMFgxMjAw/z/~5kAAOSwpZdis2fz/$_12.JPG?set_id=880000500F,"Jul 17, 2022",benchmade hk pika folding knife discontinuedbenchmade hk pika folding knife discontinued,60.0,6.0,66.0,21.0,46.66666666666666,benchmade,45.0,https://www.ebay.com/itm/255622019865?nordt=true&orig_cvip=true&rt=nc,benchmade hk pika folding knife discontinued,"Jul 17, 2022",$60.00,$6.00,255622019865
https://i.ebayimg.com/00/s/NjY3WDEyMDA=/z/xu4AAOSwI3Ni1XZh/$_12.JPG?set_id=880000500F,"Jul 24, 2022",used benchmade 530 pocket knifeused benchmade 530 pocket knife,112.5,4.0,116.5,71.5,158.88888888888889,benchmade,45.0,https://www.ebay.com/itm/255635673116?nordt=true&orig_cvip=true&rt=nc,used benchmade 530 pocket knife,"Jul 24, 2022",$112.50,$4.00,255635673116
https://i.ebayimg.com/00/s/OTE1WDExODk=/z/whsAAOSwXBdixdyj/$_12.JPG?set_id=880000500F,"Jul 17, 2022",benchmade s30v crooked river knife & pouchbenchmade s30v crooked river knife & pouch,177.5,5.1,182.6,137.6,305.77777777777777,benchmade,45.0,https://www.ebay.com/itm/265768848989?nordt=true&orig_cvip=true&rt=nc,benchmade s30v crooked river knife & pouch,"Jul 17, 2022",$177.50,$5.10,265768848989
https://i.ebayimg.com/00/s/MTIwMFgxNTk5/z/10UAAOSwNvxizbM0/$_57.JPG?set_id=8800005007,"Jul 31, 2022",benchmade freek 560 knife screws - hardware onlybenchmade freek 560 knife screws - hardware only,31.99,3.89,35.87999999999999,-9.120000000000003,-20.26666666666668,benchmade,45.0,https://www.ebay.com/itm/265777253093?nordt=true&orig_cvip=true&rt=nc,benchmade freek 560 knife screws - hardware only,"Jul 31, 2022",$31.99,$3.89,265777253093
https://i.ebayimg.com/00/s/MTIwMFgxNjAw/z/bewAAOSw76xiywWp/$_12.JPG?set_id=880000500F,"Jul 11, 2022","benchmade 550 - 440c, 3.45 inch griptilian sheepsfoot combo edge knife rare ovalbenchmade 550 - 440c, 3.45 inch griptilian sheepsfoot combo edge knife rare oval",80.0,5.25,85.25,40.25,89.44444444444444,benchmade,45.0,https://www.ebay.com/itm/275381193756?nordt=true&orig_cvip=true&rt=nc,"benchmade 550 - 440c, 3.45 inch griptilian sheepsfoot combo edge knife rare oval","Jul 11, 2022",$80.00,$5.25,275381193756
https://i.ebayimg.com/00/s/NzU3WDE2MDA=/z/VlEAAOSwSJZivdv4/$_57.JPG?set_id=8800005007,"Jul 6, 2022",benchmade 147bk nim cub ii compact fixed blade knife #r02benchmade 147bk nim cub ii compact fixed blade knife #r02,304.0,12.0,316.0,271.0,602.2222222222222,benchmade,45.0,https://www.ebay.com/itm/284878667232?nordt=true&orig_cvip=true&rt=nc,benchmade 147bk nim cub ii compact fixed blade knife #r02,"Jul 6, 2022",$304.00,$12.00,284878667232
https://i.ebayimg.com/00/s/MTM4NFgxNjAw/z/f-MAAOSwotli2Grr/$_12.JPG?set_id=880000500F,"Jul 24, 2022","benchmade 781 anthem axis lock titanium folding knife, box, papers, +mxg clipbenchmade 781 anthem axis lock titanium folding knife, box, papers, +mxg clip",600.0,14.99,614.99,569.99,1266.6444444444444,benchmade,45.0,https://www.ebay.com/itm/284904010678?nordt=true&orig_cvip=true&rt=nc,"benchmade 781 anthem axis lock titanium folding knife, box, papers, +mxg clip","Jul 24, 2022",$600.00,$14.99,284904010678
