Image,url,title,date_sold,price_in_US,shipping_
https://i.ebayimg.com/images/g/17oAAOSwHh5i0ELD/s-l1200.jpg,https://www.ebay.com/itm/354166215659?nordt=true&orig_cvip=true&rt=nc,"CRKT Carson M16-10KS EDC Tanto Frame Lock Knife (3"" Black Serrated)","Jan 4, 2023",$18.00,$3.50
https://i.ebayimg.com/images/g/w2IAAOSw-rhjad2Y/s-l1200.jpg,https://www.ebay.com/itm/304693435370?nordt=true&orig_cvip=true&rt=nc,CRKT Cicada iDWorks Knife Scissors LED flashlight bottle opener caddy money Clip,"Jan 3, 2023",$23.00,$4.99
https://i.ebayimg.com/images/g/YBcAAOSwgC1jsHGc/s-l1200.jpg,https://www.ebay.com/itm/115659511144?nordt=true&orig_cvip=true&rt=nc,Lot of 6 Folding Knife Gerber Benchmade Pelican Flashlight Multi tool,"Jan 3, 2023",$41.00,$5.08
https://i.ebayimg.com/images/g/JoIAAOSwrudjq65j/s-l1200.jpg,https://www.ebay.com/itm/165855692837?nordt=true&orig_cvip=true&rt=nc,CRKT M16-14ZLEK knife,"Jan 3, 2023",$29.00,$5.50
https://i.ebayimg.com/images/g/cKMAAOSw9s1jq6AV/s-l1200.jpg,https://www.ebay.com/itm/295441700717?nordt=true&orig_cvip=true&rt=nc,CRKT Carson Design M16-14D Flipper Pocket Knife,"Jan 3, 2023",$29.99,$0.00
https://i.ebayimg.com/images/g/qIgAAOSwT79jrkIL/s-l1200.jpg,https://www.ebay.com/itm/314296918859?nordt=true&orig_cvip=true&rt=nc,COLUMBIA RIVER KNIFE TOOLS CRKT M16-10Z TANTO LOCKBACK FOLDING SURVIVAL KNIVES,"Jan 3, 2023",$16.82,$5.90
https://i.ebayimg.com/images/g/QdUAAOSwT5ljohgt/s-l1200.jpg,https://www.ebay.com/itm/255899419020?nordt=true&orig_cvip=true&rt=nc,Crkt  Knife. lerch design ,"Jan 3, 2023",$21.26,$7.66
https://i.ebayimg.com/images/g/pTsAAOSwLkRjrkEg/s-l1200.jpg,https://www.ebay.com/itm/275598329401?nordt=true&orig_cvip=true&rt=nc,RARE CRKT COLUMBIA RIVER 5175NIRK NOVO LOCKBACK FOLDING KNIFE KNIVES SURVIVAL VG,"Jan 3, 2023",$17.50,$3.67
https://i.ebayimg.com/images/g/PUoAAOSwkthjrMFz/s-l1200.jpg,https://www.ebay.com/itm/334681973239?nordt=true&orig_cvip=true&rt=nc,CRKT Columbia River Knife & Tool Ed Van Hoy Snap Lock Pocket Knife,"Jan 3, 2023",$60.02,$5.90
https://i.ebayimg.com/images/g/BzAAAOSwLeRjI9Id/s-l1200.jpg,https://www.ebay.com/itm/265887743855?nordt=true&orig_cvip=true&rt=nc,CRKT M16-12Z Folding Pocket Knife - Carson Design - Liner Lock!,"Jan 3, 2023",$27.00,$0.00
https://i.ebayimg.com/images/g/npkAAOSwOZ5jo54I/s-l1200.jpg,https://www.ebay.com/itm/334674343873?nordt=true&orig_cvip=true&rt=nc,CRKT Natural Knife,"Jan 3, 2023",$38.00,$7.99
https://i.ebayimg.com/images/g/PC8AAOSwe1Vjo3Ug/s-l1200.jpg,https://www.ebay.com/itm/334674228659?nordt=true&orig_cvip=true&rt=nc,CRKT Seismic DeadBolt Knife,"Jan 3, 2023",$45.99,$7.99
https://i.ebayimg.com/images/g/pucAAOSwe3pjlMFw/s-l1200.jpg,https://www.ebay.com/itm/394373146859?nordt=true&orig_cvip=true&rt=nc,COLUMBIA RIVER KNIFE & TOOL M1-13K LIGHTFOOT M-1  LINER LOCK MADE IN TAIWAN NIB,"Jan 3, 2023",$50.00,$5.50
https://i.ebayimg.com/images/g/xa8AAOSwswxjreej/s-l1200.jpg,https://www.ebay.com/itm/374432116650?nordt=true&orig_cvip=true&rt=nc,#591 Black CRKT 7096 CEO Rogers Design LinerLock Shirt Pocket Knife IKBS,"Jan 3, 2023",$30.00,$0.00
https://i.ebayimg.com/images/g/Cf8AAOSwJs9jn1IK/s-l1200.jpg,https://www.ebay.com/itm/364083605353?nordt=true&orig_cvip=true&rt=nc,CRKT Columbia River Piet Pocket Knife Folder 5390 Straight Blade Voxnaes Design,"Jan 3, 2023",$21.95,$0.00
https://i.ebayimg.com/images/g/J4QAAOSw-jljqzqq/s-l1200.jpg,https://www.ebay.com/itm/185714258090?nordt=true&orig_cvip=true&rt=nc,"CRKT 2903 Hissatsu Assisted Open Tanto Folder Pocket Knife 8.75"" New","Jan 3, 2023",$40.00,$12.60
https://i.ebayimg.com/images/g/qIAAAOSwsxtjlPLy/s-l1200.png,https://www.ebay.com/itm/115635321134?nordt=true&orig_cvip=true&rt=nc,CRKT M16-14SFG Serrated Tanto G10 Liner Lock LAWKS Large Pocket Knife Used,"Jan 3, 2023",$45.00,$12.75
https://i.ebayimg.com/images/g/myUAAOSwTLdjrcJN/s-l1200.jpg,https://www.ebay.com/itm/255902071099?nordt=true&orig_cvip=true&rt=nc,Used Small CRKT Pazoda Pocket Knife,"Jan 3, 2023",$11.50,$4.25
https://i.ebayimg.com/images/g/7gMAAOSwIJljdoao/s-l1200.jpg,https://www.ebay.com/itm/155262807643?nordt=true&orig_cvip=true&rt=nc,"CRKT M16-10Z Single Blade Folding Pocket Knife Carson Design Pat 5,596,808","Jan 3, 2023",$19.50,$0.00
https://i.ebayimg.com/images/g/rBQAAOSwTcRjtDBJ/s-l1200.jpg,https://www.ebay.com/itm/325485701992?nordt=true&orig_cvip=true&rt=nc,crkt knife m16-14SFG,"Jan 3, 2023",$30.00,$5.45
https://i.ebayimg.com/images/g/EbwAAOSw1GBgibHI/s-l1200.jpg,https://www.ebay.com/itm/233986883266?nordt=true&orig_cvip=true&rt=nc,CRKT M16-13Z Carson Design Folding Pocket Knife Combo Spear Point Liner Nylon,"Jan 3, 2023",$32.41,$0.00
