Image,url,title,Field4,price_in_US,shipping_
https://i.ebayimg.com/images/g/vH4AAOSwVx1jq5vf/s-l1200.jpg,https://www.ebay.com/itm/175551454766?nordt=true&orig_cvip=true&rt=nc,Vintage c 1970-1980 Case Knife Canoe with Jigged Bone Handle,"Jan 3, 2023",$36.00,$9.00
https://i.ebayimg.com/images/g/Z-wAAOSwVs9jq4tV/s-l1200.jpg,https://www.ebay.com/itm/144875068390?nordt=true&orig_cvip=true&rt=nc,Case xx Sod Buster Jr. Knife Jigged Chestnut Bone Handle CV Pocket Knives 07014,"Jan 3, 2023",$46.00,$4.95
https://i.ebayimg.com/images/g/wIQAAOSwVbxjnMue/s-l1200.jpg,https://www.ebay.com/itm/115643756923?nordt=true&orig_cvip=true&rt=nc,2019 Case Ultra Violet 61953L SS Russlock Knife,"Jan 3, 2023",$85.00,$0.00
https://i.ebayimg.com/images/g/WUAAAOSwbw1jl2ya/s-l1200.jpg,https://www.ebay.com/itm/125660906674?nordt=true&orig_cvip=true&rt=nc,Case Classic 1993 63083 Antique Red Whittler Knife ,"Jan 3, 2023",$125.00,$5.00
https://i.ebayimg.com/images/g/8hIAAOSwCHNjtKrm/s-l1200.jpg,https://www.ebay.com/itm/234846074291?nordt=true&orig_cvip=true&rt=nc,Bucklite Buck Knife model 422 with case used,"Jan 3, 2023",$14.99,$4.99
https://i.ebayimg.com/images/g/cNsAAOSwNnljq3UO/s-l1200.jpg,https://www.ebay.com/itm/204198371972?nordt=true&orig_cvip=true&rt=nc,"Case Jr. Scout Pocket Knife, Amber Bone, Stainless Steel Blade and Tools","Jan 3, 2023",$58.00,$6.00
https://i.ebayimg.com/images/g/Qm4AAOSwgOJjrgZz/s-l1200.jpg,https://www.ebay.com/itm/115657336852?nordt=true&orig_cvip=true&rt=nc,case congress knife 6488,"Jan 3, 2023",$305.00,$6.10
https://i.ebayimg.com/images/g/5scAAOSwU7lgd2me/s-l1200.jpg,https://www.ebay.com/itm/185474858823?nordt=true&orig_cvip=true&rt=nc,Case Knife 62083 Whittler CCC,"Jan 3, 2023",$100.00,$3.85
https://i.ebayimg.com/images/g/tYwAAOSwhjljohne/s-l1200.jpg,https://www.ebay.com/itm/314293433436?nordt=true&orig_cvip=true&rt=nc,Case USA 63087 SS 3 Blade Medium Stockman Knife Jigged Bone Brown,"Jan 3, 2023",$21.25,$5.85
https://i.ebayimg.com/images/g/Ua0AAOSwFJJjsye5/s-l1200.jpg,https://www.ebay.com/itm/385328682271?nordt=true&orig_cvip=true&rt=nc,CASE BROTHERS  R 111  1/2 CHEETAH CANDY STRIPE HANDLES 2004 KNIFE,"Jan 3, 2023",$158.00,$5.95
https://i.ebayimg.com/images/g/DKEAAOSwb95jfXwM/s-l1200.jpg,https://www.ebay.com/itm/175500960662?nordt=true&orig_cvip=true&rt=nc,Case 1987 Boot Knife,"Jan 3, 2023",$224.99,$5.50
https://i.ebayimg.com/images/g/SQMAAOSwbtNjOKbO/s-l1200.jpg,https://www.ebay.com/itm/304646842126?nordt=true&orig_cvip=true&rt=nc,HARLEY DAVIDSON ~ 100 ANNIVERSARY FOLDING KNIFE ~ NEW IN CASE WITH TAGS ~ NICE ~,"Jan 3, 2023",$100.00,$6.95
https://i.ebayimg.com/images/g/q6wAAOSwOl1jmKHi/s-l1200.png,https://www.ebay.com/itm/354481060846?nordt=true&orig_cvip=true&rt=nc,Case Knife - six dot - 63047 - Stockman,"Jan 3, 2023",$100.00,$10.40
https://i.ebayimg.com/images/g/hZEAAOSwrcpjsnx3/s-l1200.jpg,https://www.ebay.com/itm/165863971336?nordt=true&orig_cvip=true&rt=nc,1964-69 Case Stag Whittler Pocket Knife,"Jan 3, 2023",$280.00,$0.00
https://i.ebayimg.com/images/g/~BYAAOSwVuFjh7a5/s-l1200.jpg,https://www.ebay.com/itm/185679255871?nordt=true&orig_cvip=true&rt=nc,Case Knife 2001 Silver Script Canoe,"Jan 3, 2023",$99.99,$0.00
https://i.ebayimg.com/images/g/9qUAAOSwIqNgpre7/s-l1200.jpg,https://www.ebay.com/itm/174775644595?nordt=true&orig_cvip=true&rt=nc,2000 Case Stag Whittler Knife V5383 WH SS Never Used  Free Shipping ,"Jan 2, 2023",$103.33,$0.00
https://i.ebayimg.com/images/g/VHQAAOSwS2djl-oB/s-l1200.jpg,https://www.ebay.com/itm/364091453322?nordt=true&orig_cvip=true&rt=nc,Case Knifes,"Jan 2, 2023",$300.00,$9.40
https://i.ebayimg.com/images/g/CaMAAOSw43tjqfbK/s-l1200.jpg,https://www.ebay.com/itm/404075554139?nordt=true&orig_cvip=true&rt=nc,Case Russlock Knife 2004 NICE Peachseed Jigged Black Bone 61953L SS Mint NR,"Jan 2, 2023",$82.00,$6.95
https://i.ebayimg.com/images/g/HNYAAOSw8eZjogDb/s-l1200.jpg,https://www.ebay.com/itm/334679842395?nordt=true&orig_cvip=true&rt=nc,"CASE leather knife holder, sheath, pocket knife, used CASE XX - NO KNIFE","Jan 2, 2023",$11.50,$4.28
https://i.ebayimg.com/images/g/JUMAAOSw10tjqlM0/s-l1200.jpg,https://www.ebay.com/itm/374427500225?nordt=true&orig_cvip=true&rt=nc,Case Museum Knife Single Blade 1990,"Jan 2, 2023",$90.00,$9.40
https://i.ebayimg.com/images/g/zkkAAOSwb4tjqiLL/s-l1200.jpg,https://www.ebay.com/itm/404075764301?nordt=true&orig_cvip=true&rt=nc,Case Stag 1977 Blue Scroll 5233 Senators Knife Pretty Stag & Nice Stag Mint! NR,"Jan 2, 2023",$94.00,$5.95
https://i.ebayimg.com/images/g/QWEAAOSwLuJjnTWd/s-l1200.jpg,https://www.ebay.com/itm/266044513155?nordt=true&orig_cvip=true&rt=nc,CASE 6254 SS DOUBLE BLADE TRAPPER KNIFE,"Jan 2, 2023",$40.00,$5.90
https://i.ebayimg.com/images/g/Y2UAAOSwwWJjskNw/s-l1200.jpg,https://www.ebay.com/itm/165863737400?nordt=true&orig_cvip=true&rt=nc,1974 Case Elephant Toe Pocket Knife In Cocobolo,"Jan 2, 2023",$180.00,$5.85
https://i.ebayimg.com/images/g/csYAAOSwDTpjpj55/s-l1200.png,https://www.ebay.com/itm/275591503035?nordt=true&orig_cvip=true&rt=nc,#CASE Trapper Lollypop Corelon Handle Stainless Folding Knife 9254LP Made in USA,"Jan 2, 2023",$46.00,$8.20
https://i.ebayimg.com/images/g/LuMAAOSwflFjr-rI/s-l1200.jpg,https://www.ebay.com/itm/266064220901?nordt=true&orig_cvip=true&rt=nc,Case Stag 1979 Founders Knife Complete With Original Display box ! 5143 SSP,"Jan 2, 2023",$145.00,$11.50
https://i.ebayimg.com/images/g/xJ4AAOSwpddjqhsi/s-l1200.jpg,https://www.ebay.com/itm/165853707440?nordt=true&orig_cvip=true&rt=nc,Case xx Mini Copperlock Knife Smooth Chestnut Bone Stainless Pocket Knive 61749L,"Jan 2, 2023",$31.00,$5.50
https://i.ebayimg.com/images/g/ZjcAAOSwkp9jqg3h/s-l1200.jpg,https://www.ebay.com/itm/325477162931?nordt=true&orig_cvip=true&rt=nc,swiss army wenger case pocket knife lot,"Jan 2, 2023",$20.00,$5.45
https://i.ebayimg.com/images/g/mwsAAOSwH11jmRsh/s-l1200.jpg,https://www.ebay.com/itm/185697542031?nordt=true&orig_cvip=true&rt=nc,J A Hinckle Congress Knife No Case/Box,"Jan 2, 2023",$75.00,$0.00
https://i.ebayimg.com/images/g/XKQAAOSwiGhjKdNQ/s-l1200.jpg,https://www.ebay.com/itm/125682756147?nordt=true&orig_cvip=true&rt=nc,Redneck Toothpick 440￼ Hunting Knife Buck Style Knife Stainless Steel 6 Inch Fix,"Jan 2, 2023",$13.50,$12.60
