Image,title,date_sold,avg_price,avg_shipping
https://i.ebayimg.com/00/s/MTIwMFgxNjAw/z/dq0AAOSwbYxixHz-/$_12.JPG?set_id=880000500F,Vintage Case XX 41059L Hastings Filters Sodbuster Pocket Knife,"Jul 12, 2022",$12.50,$8.70
https://i.ebayimg.com/00/s/MTIwMFgxNjAw/z/EQIAAOSwwgtixLoP/$_12.JPG?set_id=880000500F,Case XX 2021 Tony Bose Amber Bone Saw Cut Jig Tear Drop TB61028 SS Knife,"Jul 12, 2022",$41.00,$0.00
https://i.ebayimg.com/00/s/MTIwMFgxNjAw/z/Fx0AAOSwcfpixeSk/$_12.JPG?set_id=880000500F,Case XX 61225L SS Small Lockback Pearl Premiers 1 of 100 Pocket Knife,"Jul 13, 2022",$52.99,$8.70
https://i.ebayimg.com/00/s/MTYwMFgxNTU4/z/NlAAAOSwykRimNw-/$_12.JPG?set_id=880000500F,NICE Case XX  Family Tree 1997 Canoe Knife RED w/ box,"Jul 19, 2022",$59.00,$5.25
https://i.ebayimg.com/00/s/MTIwMFgxNjAw/z/mfkAAOSwAs5ix3DW/$_12.JPG?set_id=880000500F,2006 Case XX 5318 SS Blue Scroll Stag Stockman Pocket Knife,"Jul 14, 2022",$76.00,$8.70
https://i.ebayimg.com/00/s/MTIwMFgxNjAw/z/O6kAAOSwBmtiy1xL/$_12.JPG?set_id=880000500F,CASE XX SCOUT KNIFE 1986 * 4 DOT  640045R,"Jul 12, 2022",$65.00,$5.40
https://i.ebayimg.com/00/s/MTIwMFgxNjAw/z/zp8AAOSwUrZizykv/$_12.JPG?set_id=880000500F,Case XX 6318 Medium Stockman Pocket Knife,"Jul 21, 2022",$37.00,$4.95
https://i.ebayimg.com/00/s/MTIwMFgxNjAw/z/6w8AAOSwyt5iz0Pc/$_12.JPG?set_id=880000500F,Case XX 6318 SS Greg Stumbo Red Pocket Knife,"Jul 21, 2022",$26.50,$3.55
https://i.ebayimg.com/00/s/MTIwMFgxNjAw/z/Jw8AAOSwPDViz0wD/$_12.JPG?set_id=880000500F,Case XX 6207 Red Trapper Folding Knife,"Jul 20, 2022",$22.50,$9.85
https://i.ebayimg.com/00/s/MTIwMFgxNjAw/z/2mYAAOSwMlti0eRN/$_12.JPG?set_id=880000500F,Case XX 6347 Freemasonry Blue Bone Engraved Bolster Pocket Knife,"Jul 22, 2022",$49.00,$0.00
https://i.ebayimg.com/00/s/MTIwMFgxNjAw/z/vGEAAOSwau5i0eiq/$_12.JPG?set_id=880000500F,Case XX 925424KT Premier 1 of 500 24 Karat Corelon Trapper Knife,"Jul 22, 2022",$46.00,$9.45
https://i.ebayimg.com/00/s/MTIwMFgxNjAw/z/zfIAAOSwt2diac5A/$_12.JPG?set_id=880000500F,2000 CASE XX MM MILLENNIUM COLLECTION 61549L SS LARGE COPPERLOCK KNIFE 1 of 500,"Jul 24, 2022",$115.00,$5.20
https://i.ebayimg.com/00/s/MTIwMFgxNjAw/z/E6cAAOSw0CFi9v3Z/$_12.JPG?set_id=880000500F,1984 CASE XX ROGERS BONE 6254 TRAPPER KNIFE FOR PARTS OR REPAIR ,"Aug 20, 2022",$32.50,$2.15
https://thumbs.ebaystatic.com/pict/1248778539976464_1.jpg,Vintage 1981 Case XX USA 2137 SS Sod Buster Jr. Black Handle Folding Knife,"Sep 13, 2021",$32.48,$7.31
https://thumbs.ebaystatic.com/pict/1251529887556464_1.jpg,Case xx 6318 USA Folding Pocket Knife- 3 blade- No Reserve 10,"Mar 1, 2022",$23.50,$4.65
https://thumbs.ebaystatic.com/pict/1251736418276464_1.jpg,Vintage Case XX USA pocket Knife. 6318 SS 3 blade Stockman Knife Knive,"Mar 7, 2022",$32.50,$6.95
https://thumbs.ebaystatic.com/pict/1251841337256464_1.jpg,"3 Knife Lot: President 1965 Case xx (missing handle), Robeson Stokman, Imperial","Mar 9, 2022",$45.00,$0.00
https://thumbs.ebaystatic.com/pict/1251859818536464_1.jpg,Florida Estate Find! CASE XX POCKET KNIFE Orange very nice 6344,"Mar 15, 2022",$61.00,$0.00
https://thumbs.ebaystatic.com/pict/1252399783496464_1.jpg,Case XX Fixed Blade Hunting Knife 647-5 Bone Handles with Leather Sheath,"Apr 12, 2022",$167.50,$4.95
https://thumbs.ebaystatic.com/pict/1252409511956464_1.jpg,Case XX Synthetic Trapper Stainless Pocket Knife - Yellow,"May 3, 2022",$45.00,$0.00
https://thumbs.ebaystatic.com/pict/1252492153146464_1.jpg,Case xx 4318ss Blue Composition Stockman Folding Pocket Knife,"Apr 14, 2022",$30.00,$4.70
https://thumbs.ebaystatic.com/pict/1252509121406464_1.jpg, CASE XX 62032 CV Amber Bone Texas Jack Trapper Folding Pocket Knife USA ,"Apr 12, 2022",$40.00,$5.25
https://thumbs.ebaystatic.com/pict/1252541661206464_1.jpg,Case xx Trapper  Large 6254 ss Bermuda Green Jigged Bone Folding Pocket Knife,"Apr 14, 2022",$40.00,$5.25
https://thumbs.ebaystatic.com/pict/1252787893586464_1.jpg,Case XX 6265 SS Rosewood Folding Knife 2 Blade USA,"May 2, 2022",$71.00,$8.95
https://thumbs.ebaystatic.com/pict/1252805786716464_1.jpg,2004 CASE XX BIG TRAPPER 2-BLADE 6254 SS KNIFE - AQUA GREEN JIGGED BONE - Unused,"May 3, 2022",$50.00,$5.00
https://thumbs.ebaystatic.com/pict/1252915987076464_1.jpg,CASE XX TINY TOOTHPICK CUSTOM KNIFE WITH SCROLLWORK,"May 10, 2022",$81.00,$4.00
https://thumbs.ebaystatic.com/pict/1252925354686464_1.jpg,Casexx 6344ss Stockman Blue Jigged Bone Handle Folding Pocket Knife,"May 10, 2022",$25.00,$4.60
https://thumbs.ebaystatic.com/pict/1253045307946464_1.jpg,Case XX USA 7110L SS Interlock Pocket Knife Maple Handles Date???,"May 18, 2022",$66.00,$10.70
https://thumbs.ebaystatic.com/pict/1253054234066464_1.jpg, Vintage 1940-1964 Case XX 05247SP Sepentine Jack Stag Handle Pocket Knife,"May 16, 2022",$53.00,$0.00
https://thumbs.ebaystatic.com/pict/1253175737736464_1.jpg,CASE XX 62165 T.H. SS Limited Edition 1 of 3000 TWO BLADE FOLDING POCKET KNIFE,"May 22, 2022",$52.00,$4.65
https://thumbs.ebaystatic.com/pict/1253240230256464_1.jpg,Case XX  1996  #6149 SS Collectors Club Red Bone Copperhead Pocket Knife,"May 28, 2022",$56.00,$5.20
