Image,title,title2,avg_price,avg_shipping,url
https://thumbs.ebaystatic.com/pict/1147122349456464_1.jpg,Buck 285 USA Muddy Waters Bantam Lockback Folding Pocket Knife -- Great Conditio,,$37.45,$9.95,
https://thumbs.ebaystatic.com/pict/1148010548716464_1.jpg,Buck 835 Small NS Program Maintenance Pocket Selkirk Knife -- Great Condition,,$44.99,$4.99,
https://thumbs.ebaystatic.com/pict/1149539948506464_1.jpg,Buck 285 USA Camo Color Camouflage Lockback Pocket Knife -- Great Condition,,$23.15,$6.47,
https://thumbs.ebaystatic.com/pict/1152450343986464_1.jpg,USA Buck Folding Knife 180 Crosslock Plain Blade Liner Lock Box Papers Clean!,,$50.00,$8.00,
https://thumbs.ebaystatic.com/pict/1152808054776464_1.jpg,"Vintage 1974-1980 Buck 110  Lock Back Knife 4"" Blade in Sheath ",,$42.00,$26.50,
https://thumbs.ebaystatic.com/pict/1152822300176464_1.jpg,Buck USA American Flag 525 Gent Lockback Knife ,,$45.00,$0.00,
https://thumbs.ebaystatic.com/pict/1152913536156464_1.jpg,BUCK SMALL POCKET KNIFE 309 COMPANION USA w BOX & PAPERWORK ,,$22.00,$5.00,
https://thumbs.ebaystatic.com/pict/1152979138806464_1.jpg,Buck 703 3-Blade Pocket Knife,,$15.00,$5.20,
https://thumbs.ebaystatic.com/pict/1153017107656464_1.jpg,BUCK USA 110 T Folding Knife Knife With Sheath In Great Condition.,,$47.00,$0.00,
https://thumbs.ebaystatic.com/pict/1153086430756464_1.jpg,BUCK KNIFE FOLDING KNIFE WITH TOOL,,$36.00,$6.50,
https://thumbs.ebaystatic.com/pict/1153247218806464_1.jpg,Buck Knife 112 Lockback. With Sheath. Excellent condition. See photos,,$43.00,$9.00,
https://thumbs.ebaystatic.com/pict/1153263717526464_1.jpg,BUCK Knife 446 Discontinued Model 446,,$37.00,$9.10,
https://thumbs.ebaystatic.com/pict/1153415763706464_1.jpg,Buck Sprint Pro 841 Burlap Micarta Flipper Knife,,$75.00,$4.65,
https://thumbs.ebaystatic.com/pict/1153565019986464_1.jpg,1973 - 81 BUCK USA 301 3 BLADE STOCKMAN BLACK HANDLES PRE DATE CODE KNIFE UNUSED,,$90.00,$5.25,
https://thumbs.ebaystatic.com/pict/1153583890246464_1.jpg, Buck USA 110 Folding Hunter Pocket Knife w/ Sheath & Buck Forever Warranty ,,$43.00,$8.00,
