Image,date_sold,title,avg_price,avg_shipping
https://i.ebayimg.com/00/s/MTIwMFgxNjAw/z/sGYAAOSwaDtiivj5/$_57.JPG?set_id=880000500F,"Jun 14, 2022",Spyderco Tenacious Folding Pocket Knife,$30.00,$4.50
https://i.ebayimg.com/00/s/MTIwMFgxNjAw/z/WDgAAOSwA6BinD1N/$_32.JPG?set_id=880000500F,"Jun 14, 2022","Spyderco Byrd Robin 2 Lockback Knife Titanium (2.4"" Satin) Discontinued",$26.00,$4.75
https://i.ebayimg.com/00/s/MTAyMFgxNjAw/z/K5AAAOSwtfZirh2o/$_12.JPG?set_id=880000500F,"Jun 27, 2022","SPYDERCO VERY EARLY POLICE ""PIG"" FOLDING KNIFE Pride Integrity Guts",$335.00,$25.00
https://i.ebayimg.com/00/s/MTIwMFgxNjAw/z/lQMAAOSwU1Bi3UPP/$_57.JPG?set_id=880000500F,"Aug 9, 2022",Spyderco Delica 4  Folding Pocket Knife,$56.00,$4.00
https://thumbs.ebaystatic.com/pict/1548162160536464_1.jpg,"Jan 28, 2022",SPYDERCO C223PBBK PARA 3 LIGHTWEIGHT FOLDING KNIFE BLACK CTS-BD1N BLACK FRN,$90.00,$5.20
https://thumbs.ebaystatic.com/pict/1548872485766464_1.jpg,"Mar 15, 2022",Vintage Spyderco Endura Stainless Steel Handle AUS-6 SEKI CITY Knife,$60.00,$0.00
https://thumbs.ebaystatic.com/pict/1549469146856464_1.jpg,"Apr 23, 2022",Spyderco Mini Folding Knife Stainless Steel China,$21.50,$4.00
https://thumbs.ebaystatic.com/pict/1549663528546464_1.jpg,"May 10, 2022",Spyderco Folding Knife/ Rubicon Peter Carey design,$405.00,$10.11
https://thumbs.ebaystatic.com/pict/1549666739886464_1.jpg,"May 4, 2022",Spyderco C122PBBK Tenacious Folding Knife - Black,$33.00,$5.20
https://thumbs.ebaystatic.com/pict/1549936046596464_1.jpg,"May 23, 2022",Spyderco Manix 2 Lightweight Pocket Knife - Dark Blue (C101PBL2),$86.00,$5.50
https://thumbs.ebaystatic.com/pict/1550036067026464_1.jpg,"May 21, 2022",Spyderco Shaman C229GP S30V Folding Knife,$230.00,$10.00
https://thumbs.ebaystatic.com/pict/1550046007666464_1.jpg,"May 22, 2022","Spyderco Shaman C229GPBK 3.58” Knife, Black G10 Black Blade",$175.00,$5.25
https://thumbs.ebaystatic.com/pict/1550060007356464_1.jpg,"May 27, 2022",Vtg Spyderco Police Model Folding Pocket Knife Serrated ATS 55 Seki City Japan,$100.00,$5.85
https://i.ebayimg.com/00/s/MTYwMFgxMjAw/z/Cq4AAOSwG~limRaI/$_12.JPG?set_id=880000500F,"Jun 8, 2022","Spyderco Endura 4 Folding Knife 3.8"" Part Serrated VG10 Blade Black FRN Handle",$50.00,$5.20
https://i.ebayimg.com/00/s/MTIwMFgxNjAw/z/a0kAAOSwTtBim~YI/$_57.JPG?set_id=8800005007,"Jun 5, 2022",Spyderco Delica 4 VG-10 Plain Edge ZOME Green Folding Pocket Knife,$50.00,$0.00
https://thumbs.ebaystatic.com/pict/1652390788306464_1.jpg,"Jan 9, 2022","Byrd Tern Slipit Slipjoint Knife BY23GP 2.62"" Plain Edge Blade Black G-10 Handle",$24.00,$0.00
https://i.ebayimg.com/00/s/ODUwWDc2OA==/z/ZwgAAOSwtVViHNcp/$_57.JPG?set_id=8800005007,"Jul 26, 2022",Spyderco Black Military C36GPCMOBK Flat Ground Plain Edge G-10 Knife S30V,$210.00,$0.00
https://thumbs.ebaystatic.com/pict/1653601489986464_1.jpg,"Mar 7, 2022","Spyderco Knife Lot ""China""",$18.56,$4.00
https://thumbs.ebaystatic.com/pict/1653675239896464_1.jpg,"Mar 11, 2022",Spyderco Kiwi VG10 Bone Handle Folding Knife MADE IN JAPAN,$152.99,$8.09
https://thumbs.ebaystatic.com/pict/1653828495366464_1.jpg,"Mar 25, 2022",Spyderco Salt GM Knife,$65.00,$0.00
https://thumbs.ebaystatic.com/pict/1654734588176464_1.jpg,"May 15, 2022",Spyderco Manix 2 Folding Knife - Blue Scales - BD1 Stainless,$123.50,$10.90
https://i.ebayimg.com/00/s/Nzg3WDE2MDA=/z/To8AAOSwGWVinkoU/$_32.JPG?set_id=880000500F,"Jun 14, 2022",Spyderco Kiwi 3 Knife - C75P3 - SlipIt - Discontinued Item - Used w/box,$100.00,$10.00
https://i.ebayimg.com/00/s/MTYwMFgxMjAw/z/zEcAAOSwTtFiywzN/$_12.JPG?set_id=880000500F,"Jul 18, 2022",Byrd Meadowlark 2 8Cr13MoV Black Folding Knife,$14.50,$5.25
https://i.ebayimg.com/00/s/MTYwMFg3NTc=/z/T84AAOSwRtJi9CiC/$_12.JPG?set_id=880000500F,"Aug 21, 2022",Spyderco Efficient G-10 Black Folding Knife - Very Nice Condition - See photos!,$35.00,$5.30
https://thumbs.ebaystatic.com/pict/1750673597436464_1.jpg,"Dec 20, 2021",Vintage Seki-City G2 Clip It Spyderco Clipit Delica Knife Japan Serrated Blade,$58.00,$0.00
https://thumbs.ebaystatic.com/pict/1751498666326464_1.jpg,"Feb 16, 2022","Spyderco Tenacious Folding Knife Black Combo Blade, G10 Handles - C122GBBK",$34.00,$0.00
https://thumbs.ebaystatic.com/pict/1751919758276464_1.jpg,"Mar 17, 2022",Spyderco Schempp Bowie Liner Lock Knife Black Carbon Fiber & G-10 S30V C190CFP,$103.50,$6.95
https://thumbs.ebaystatic.com/pict/1752217136046464_1.jpg,"Apr 8, 2022","Spyderco Insistent Folding Knife Satin Combo Blade, Black G10 Handles C246GPS",$43.00,$0.00
https://thumbs.ebaystatic.com/pict/1752289497036464_1.jpg,"Apr 15, 2022",Spyderco Chaparral Folding Knife CTS XHP Raffir Noble Brass/Acrylic Clean,$165.50,$5.25
https://thumbs.ebaystatic.com/pict/1752392866066464_1.jpg,"Apr 19, 2022","Spyderco Shaman Knife, REC River's Edge Cutlery Exclusive C229GPODFDE, CT204P",$497.70,$7.30
https://thumbs.ebaystatic.com/pict/1752473691816464_1.jpg,"Apr 26, 2022",Spyderco Para 3 Folding Knife RGT Skinny Natural Canvas Micarta MXG Pocket Clip,$171.62,$4.70
https://thumbs.ebaystatic.com/pict/1752520790176464_1.jpg,"Apr 29, 2022",Spyderco Knife Tasman Salt 1 Black FRN Hawkbill  Plain Edge H-1 ,$75.00,$4.60
https://thumbs.ebaystatic.com/pict/1752714893416464_1.jpg,"May 15, 2022","Spyderco Poliwog C98GM4P Folding Knife, Satin M4 Blade, Natural G10 Handle ",$172.50,$0.00
https://i.ebayimg.com/00/s/MTIwMFgxNjAw/z/3vYAAOSwl9xipYPk/$_12.JPG?set_id=880000500F,"Jun 20, 2022",Spyderco Native 5 C41PGY5 Pocket Knife Mint Green Exclusive Cmp-m4 Steel,$124.92,$5.30
https://thumbs.ebaystatic.com/pict/1850492267906464_1.jpg,"Mar 18, 2022",Spyderco VG-10 Stainless Steel Folding Knife POLICE SEKI CITY,$270.20,$0.00
https://thumbs.ebaystatic.com/pict/1851498320956464_1.jpg,"Nov 17, 2021","Spyderco Salt 2 Folding Knife 3"" H1 Plain Blade Yellow FRN Handles C88PYL2 Used",$42.38,$5.20
https://thumbs.ebaystatic.com/pict/1852871196146464_1.jpg,"Feb 18, 2022",Spyderco Tenacious Folding Knife PlainEdge Blade w/Black G10 Handle,$34.00,$5.00
https://thumbs.ebaystatic.com/pict/1852969660856464_1.jpg,"Feb 25, 2022",Spyderco Byrd Black Cara Cara Rescue 2 Serrated Folding Pocket Knife,$27.99,$5.48
https://thumbs.ebaystatic.com/pict/1852984571966464_1.jpg,"Feb 18, 2022",spyderco police knife,$50.00,$5.25
https://thumbs.ebaystatic.com/pict/1853110092576464_1.jpg,"Mar 2, 2022",spyderco knife vg-10 VG10 Made In Japan,$227.53,$8.45
https://thumbs.ebaystatic.com/pict/1853178804696464_1.jpg,"Mar 6, 2022",Spyderco Clipit Endura  G-2 Stainless  Knife Black,$40.00,$7.50
https://thumbs.ebaystatic.com/pict/1853383560596464_1.jpg,"Mar 20, 2022",Rare Spyderco Rock Lobster Folding Knife ANSO DESIGN C126GPFG,$162.50,$9.45
https://thumbs.ebaystatic.com/pict/1853384521346464_1.jpg,"Mar 25, 2022","Spyderco Delica 4 Lockback Knife Black FRN (2.875"" Satin Serr) C11PSBK",$59.99,$4.26
https://i.ebayimg.com/00/s/MTYwMFgxMjAw/z/2uEAAOSwLOJiSkU-/$_57.JPG?set_id=8800005007,"Aug 5, 2022",Spyderco Delica Clipit AUS8 Stainless SpyderEdge Folding Pocket Knife Japan,$57.49,$4.88
https://thumbs.ebaystatic.com/pict/1853787539586464_1.jpg,"Apr 15, 2022",Spyderco Endura 4 VG-10 Seki-City Japan Tactical Lockback Knife,$64.99,$5.15
https://i.ebayimg.com/00/s/MTM2N1gxNjAw/z/gPcAAOSwjfxiwdll/$_57.JPG?set_id=8800005007,"Jul 17, 2022",Spyderco Dragonfly 2 Folding Pocket Knife - Black,$45.00,$4.55
https://thumbs.ebaystatic.com/pict/1853921627706464_1.jpg,"Apr 25, 2022",Spyderco Tenacious Folding Knife Combination Edge Blade w/Black G10 Handle,$30.00,$4.38
https://thumbs.ebaystatic.com/pict/1853921627736464_1.jpg,"May 11, 2022",Spyderco ladybug Folding Knife,$27.00,$4.08
https://thumbs.ebaystatic.com/pict/1853989549246464_1.jpg,"May 1, 2022",Spyderco Tenacious knife,$37.00,$4.00
https://thumbs.ebaystatic.com/pict/1854240754536464_1.jpg,"May 16, 2022",Spyderco Civilian G-10 Folding Knife Black,$120.00,$10.00
https://thumbs.ebaystatic.com/pict/1854325543536464_1.jpg,"May 27, 2022","Spyderco Kapara Folding Knife 3.5"" CPM S30V Steel Blade Carbon Fiber Handle Ln",$196.50,$5.40
https://thumbs.ebaystatic.com/pict/1854369992246464_1.jpg,"May 25, 2022",Spyderco Tenacious Folding Pocket Knife Black G10 Handle Plain Edge Blade C122GP,$35.00,$4.65
https://thumbs.ebaystatic.com/pict/1854411064206464_1.jpg,"May 31, 2022",Spyderco C101GP2 PlainEdge Clip Point Folding Knife,$90.00,$5.00
