Image,Field4,price_in_US,shipping_,Image1,title,date_sold,shipping_cost
https://i.ebayimg.com/images/g/-BIAAOSwSYVf8ygV/s-l1200.jpg,"Jan 11, 2021",$27.07,$3.49,https://i.ebayimg.com/images/g/laUAAOSwDZ1hHWzx/s-l1200.jpg,Kershaw 1660CKTST Leek Onion Design Folding Pocket Knife Combo Edge Frame Lock,"Aug 22, 2021",$0.00
https://i.ebayimg.com/images/g/-BIAAOSwSYVf8ygV/s-l1200.jpg,"Jan 11, 2021",$32.33,$3.49,https://i.ebayimg.com/images/g/RnEAAOSwGOFgpAaF/s-l1200.jpg,Kershaw Cryo II BW Folding Knife,"Aug 23, 2021",$0.00
https://i.ebayimg.com/images/g/-BIAAOSwSYVf8ygV/s-l1200.jpg,"Jan 11, 2021",$239.95,$3.49,https://i.ebayimg.com/images/g/2ssAAOSwmc5g1EWT/s-l1200.jpg,"Zero Tolerance 0308 Folding Knife, Premium CPM 20CV Blade Steel, Manual KVT","Aug 23, 2021",$0.00
https://i.ebayimg.com/images/g/-BIAAOSwSYVf8ygV/s-l1200.jpg,"Jan 11, 2021",$18.95,$3.49,https://i.ebayimg.com/images/g/IcUAAOSw4qZd5RyP/s-l1200.jpg,"Kershaw 1555 SpeedSafe Hinderer Design Assisted Locking Knife, Several Styles","Aug 24, 2021",$0.00
https://i.ebayimg.com/images/g/-BIAAOSwSYVf8ygV/s-l1200.jpg,"Jan 11, 2021",$40.00,$3.49,https://i.ebayimg.com/images/g/2V8AAOSwnZJfiemH/s-l1200.jpg,"Kershaw Leek, Drop Point, Plain 3"" Blade, Folding Pocket Knife, Red - 1660RDBW","Aug 29, 2021",$0.00
https://i.ebayimg.com/images/g/-BIAAOSwSYVf8ygV/s-l1200.jpg,"Jan 11, 2021",$15.33,$3.49,https://i.ebayimg.com/images/g/ce4AAOSwJs1hKTEl/s-l1200.jpg,Kershaw 1730SS/SSST RJ Martin Design Folding Pocket Knife Frame Lock Stainless,"Aug 30, 2021",$0.00
https://i.ebayimg.com/images/g/-BIAAOSwSYVf8ygV/s-l1200.jpg,"Jan 11, 2021",$59.95,$3.49,https://i.ebayimg.com/images/g/UgQAAOSwyxZg3h8S/s-l1200.jpg,Vtg Kershaw 5300 Seki Japan Scroll Gentleman Pearl Folding Lockback Pocket Knife,"Aug 30, 2021",$0.00
https://i.ebayimg.com/images/g/-BIAAOSwSYVf8ygV/s-l1200.jpg,"Jan 11, 2021",$94.95,$3.49,https://i.ebayimg.com/images/g/i78AAOSw5cpg5Md0/s-l1200.jpg,Discontinued Kershaw 1560SW Whirlwind Folding Pocket Knife - Excellent 390,"Sep 1, 2021",$0.00
https://i.ebayimg.com/images/g/-BIAAOSwSYVf8ygV/s-l1200.jpg,"Jan 11, 2021",$29.95,$3.49,https://i.ebayimg.com/images/g/XyYAAOSwIFNhM3y8/s-l1200.jpg,"6” Blue KERSHAW Scallion Folding Pocket Knife w/ Lock, Model 1620NB","Sep 5, 2021",$0.00
https://i.ebayimg.com/images/g/-BIAAOSwSYVf8ygV/s-l1200.jpg,"Jan 11, 2021",$31.15,$3.49,https://i.ebayimg.com/images/g/s8oAAOSwOJhgQtxg/s-l1200.jpg,Vintage Kai Kershaw 5900 Seki Japan Tortoise Pipe Tool Folding Pocket Knife,"Sep 5, 2021",$0.00
